Time,BLOCK1:ZONE3 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 1:Des Heat Cap [W],BLOCK1:ZONE3 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK1:ZONE3 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK1:ZONE3 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 2:Des Heat Cap [W],BLOCK1:ZONE3 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK1:ZONE3 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK1:ZONE3 AHU:DesPer 2:Des Tot Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 1:Des Heat Cap [W],BLOCK1:ZONE7 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 2:Des Heat Cap [W],BLOCK1:ZONE7 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK1:ZONE7 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK1:ZONE7 AHU:DesPer 2:Des Tot Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 1:Des Heat Cap [W],BLOCK1:ZONE6 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 2:Des Heat Cap [W],BLOCK1:ZONE6 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK1:ZONE6 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK1:ZONE6 AHU:DesPer 2:Des Tot Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 1:Des Heat Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 1:Des Heat Cap [W],BLOCK6:ZONE1 AHU:DesPer 1:Des Cool Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 1:Des Sens Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 1:Des Tot Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 2:Des Heat Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 2:Des Heat Cap [W],BLOCK6:ZONE1 AHU:DesPer 2:Des Cool Mass Flow [kg/s],BLOCK6:ZONE1 AHU:DesPer 2:Des Sens Cool Cap [W],BLOCK6:ZONE1 AHU:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,2.429978E+04,1.230232E+06,1.303221E+06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.690194E-01,2.241325E+03,2.778080E+03,2.585002E-02,8.312232E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.979939E-03,9.257943E+01,1.113806E+02,8.477956E-01,2.727931E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.975621E-02,1.190497E+03,1.266278E+03,5.245846E+00,1.687989E+05,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,1.025567E+05,3.408055E+05,3.639030E+05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.631756E-01,2.163646E+03,2.763094E+03,2.581854E-02,8.302109E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.446658E-03,8.550604E+01,1.012767E+02,8.477843E-01,2.727894E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.277510E-02,1.097887E+03,1.177829E+03,5.245818E+00,1.687980E+05,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,0.000000E+00,0.000000E+00,1.526195E+05,2.089784E+07,4.483857E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.142491E-01,2.840568E+03,6.742393E+03,2.582240E-02,8.303352E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.418428E-03,4.495050E+01,9.511473E+01,8.477859E-01,2.727899E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.765760E-02,8.973036E+02,2.464463E+03,5.245822E+00,1.687981E+05,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,0.000000E+00,0.000000E+00,1.394766E+05,4.046784E+07,6.895389E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.652814E-01,3.516675E+03,8.574691E+03,2.582615E-02,8.304558E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.439722E-04,4.460618E+00,1.086895E+01,8.477874E-01,2.727904E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.896213E-02,6.493046E+02,1.831519E+03,5.245825E+00,1.687982E+05,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,0.000000E+00,0.000000E+00,6.952735E+04,1.565268E+07,2.199509E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.549635E-01,3.378981E+03,8.211502E+03,2.582980E-02,8.305729E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.477266E-04,3.191824E+00,7.382195E+00,8.477889E-01,2.727909E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.551216E-02,4.709178E+02,1.339166E+03,5.245828E+00,1.687983E+05,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,0.000000E+00,0.000000E+00,1.947323E+02,1.713627E+04,2.048107E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.395117E-01,3.173302E+03,7.708370E+03,2.583333E-02,8.306866E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.427055E-04,7.038974E+00,1.474250E+01,8.477902E-01,2.727913E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.962979E-02,3.928795E+02,1.119768E+03,5.245831E+00,1.687984E+05,0.000000E+00,0.000000E+00,0.000000E+00
07:00:00,0.000000E+00,0.000000E+00,3.025977E+04,4.933882E+06,8.940881E+06,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.832179E-01,2.428238E+03,4.288681E+03,2.583676E-02,8.307970E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.256215E-03,2.967474E+01,5.179453E+01,8.477916E-01,2.727918E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.323185E-02,5.732365E+02,1.217195E+03,5.245834E+00,1.687984E+05,0.000000E+00,0.000000E+00,0.000000E+00
08:00:00,0.000000E+00,0.000000E+00,3.013537E+04,8.560462E+06,1.192295E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.374650E-01,1.822226E+03,2.999436E+03,2.584010E-02,8.309042E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.700243E-03,4.900583E+01,8.195166E+01,8.477928E-01,2.727922E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.582227E-02,7.400690E+02,1.466453E+03,5.245837E+00,1.687985E+05,0.000000E+00,0.000000E+00,0.000000E+00
09:00:00,0.000000E+00,0.000000E+00,5.065345E+04,1.549023E+07,1.894424E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.154667E-01,1.530808E+03,2.113955E+03,2.584334E-02,8.310084E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.323881E-03,3.081351E+01,4.381672E+01,8.477941E-01,2.727926E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.228995E-02,6.932968E+02,1.017814E+03,5.245839E+00,1.687986E+05,0.000000E+00,0.000000E+00,0.000000E+00
10:00:00,0.000000E+00,0.000000E+00,1.952714E+05,5.386452E+07,6.593411E+07,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.397167E-02,1.246319E+03,1.663250E+03,2.584649E-02,8.311096E+02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.282243E-04,6.998483E+00,9.469842E+00,8.477952E-01,2.727929E+04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.888089E-02,7.809351E+02,9.905814E+02,5.245842E+00,1.687987E+05,0.000000E+00,0.000000E+00,0.000000E+00
